0.78	0.68	0.48	0.5	0.83	0.4	0.29
0.63	0.69	0.48	0.5	0.65	0.41	0.28
0.67	0.88	0.48	0.5	0.73	0.5	0.25
0.61	0.75	0.48	0.5	0.51	0.33	0.33
0.67	0.84	0.48	0.5	0.74	0.54	0.37
0.74	0.9	0.48	0.5	0.57	0.53	0.29
0.73	0.84	0.48	0.5	0.86	0.58	0.29
0.75	0.76	0.48	0.5	0.83	0.57	0.3
0.77	0.57	0.48	0.5	0.88	0.53	0.2
0.74	0.78	0.48	0.5	0.75	0.54	0.15
0.68	0.76	0.48	0.5	0.84	0.45	0.27
0.56	0.68	0.48	0.5	0.77	0.36	0.45
0.65	0.51	0.48	0.5	0.66	0.54	0.33
0.52	0.81	0.48	0.5	0.72	0.38	0.38
0.64	0.57	0.48	0.5	0.7	0.33	0.26
0.6	0.76	1.0	0.5	0.77	0.59	0.52
0.69	0.59	0.48	0.5	0.77	0.39	0.21
0.63	0.49	0.48	0.5	0.79	0.45	0.28
0.71	0.71	0.48	0.5	0.68	0.43	0.36
0.68	0.63	0.48	0.5	0.73	0.4	0.3
