3.0	113.0	339.0	37.667	0.41	0.472	13.9	139.0	160.0	10.0
3.0	59.0	177.0	19.667	0.475	0.475	84.0	84.0	84.0	1.0
2.0	20.0	40.0	10.0	0.675	0.675	27.0	27.0	27.0	1.0
2.0	101.0	202.0	50.5	0.54	0.743	10.9	109.0	150.0	10.0
4.0	194.0	776.0	48.5	0.263	0.273	34.0	204.0	212.0	6.0
2.0	18.0	36.0	9.0	0.667	0.694	24.0	24.0	25.0	1.0
2.0	22.0	44.0	11.0	0.75	0.75	33.0	33.0	33.0	1.0
2.0	18.0	36.0	9.0	0.806	0.833	29.0	29.0	30.0	1.0
2.0	22.0	44.0	11.0	0.705	0.864	15.5	31.0	38.0	2.0
3.0	116.0	348.0	38.667	0.385	0.494	33.5	134.0	172.0	4.0
1.0	10.0	10.0	10.0	1.0	1.0	10.0	10.0	10.0	1.0
1.0	13.0	13.0	13.0	1.0	1.0	13.0	13.0	13.0	1.0
1.0	8.0	8.0	8.0	1.0	1.0	8.0	8.0	8.0	1.0
1.0	44.0	44.0	44.0	0.25	1.0	2.2	11.0	44.0	5.0
2.0	20.0	40.0	10.0	0.725	0.875	29.0	29.0	35.0	1.0
2.0	20.0	40.0	10.0	0.775	0.85	31.0	31.0	34.0	1.0
3.0	113.0	339.0	37.667	0.357	0.378	30.25	121.0	128.0	4.0
98.0	3.0	294.0	0.031	0.48	0.486	141.0	141.0	143.0	1.0
2.0	48.0	96.0	24.0	0.625	0.677	30.0	60.0	65.0	2.0
3.0	116.0	348.0	38.667	0.356	0.371	62.0	124.0	129.0	2.0
2.0	18.0	36.0	9.0	0.722	0.722	26.0	26.0	26.0	1.0
3.0	132.0	396.0	44.0	0.505	0.558	20.0	200.0	221.0	10.0
1.0	17.0	17.0	17.0	0.765	1.0	3.25	13.0	17.0	4.0
1.0	8.0	8.0	8.0	1.0	1.0	8.0	8.0	8.0	1.0
2.0	69.0	138.0	34.5	0.623	0.906	10.75	86.0	125.0	8.0
2.0	46.0	92.0	23.0	0.587	0.761	18.0	54.0	70.0	3.0
1.0	57.0	57.0	57.0	0.456	1.0	3.71	26.0	57.0	7.0
1.0	10.0	10.0	10.0	0.9	1.0	9.0	9.0	10.0	1.0
2.0	116.0	232.0	58.0	0.616	0.802	17.88	143.0	186.0	8.0
2.0	17.0	34.0	8.5	0.588	0.971	6.67	20.0	33.0	3.0
1.0	43.0	43.0	43.0	0.907	1.0	9.75	39.0	43.0	4.0
19.0	2.0	38.0	0.105	0.816	0.816	31.0	31.0	31.0	1.0
5.0	2.0	10.0	0.4	0.8	0.8	8.0	8.0	8.0	1.0
10.0	2.0	20.0	0.2	0.55	0.6	11.0	11.0	12.0	1.0
2.0	112.0	224.0	56.0	0.496	0.504	55.5	111.0	113.0	2.0
1.0	45.0	45.0	45.0	0.756	1.0	5.67	34.0	45.0	6.0
1.0	75.0	75.0	75.0	0.813	1.0	5.55	61.0	75.0	11.0
2.0	157.0	314.0	78.5	0.506	0.551	26.5	159.0	173.0	6.0
1.0	32.0	32.0	32.0	0.719	1.0	5.75	23.0	32.0	4.0
1.0	52.0	52.0	52.0	0.788	1.0	10.25	41.0	52.0	4.0
1.0	13.0	13.0	13.0	0.692	1.0	4.5	9.0	13.0	2.0
94.0	2.0	188.0	0.021	0.516	0.516	97.0	97.0	97.0	1.0
2.0	123.0	246.0	61.5	0.5	0.504	123.0	123.0	124.0	1.0
1.0	36.0	36.0	36.0	0.722	1.0	8.67	26.0	36.0	3.0
4.0	2.0	8.0	0.5	0.875	0.875	7.0	7.0	7.0	1.0
1.0	19.0	19.0	19.0	0.789	1.0	3.75	15.0	19.0	4.0
1.0	9.0	9.0	9.0	0.778	1.0	7.0	7.0	9.0	1.0
2.0	446.0	892.0	223.0	0.439	0.603	17.82	392.0	538.0	22.0
66.0	3.0	198.0	0.045	0.657	0.909	2.6	130.0	180.0	50.0
93.0	4.0	372.0	0.043	0.419	0.565	2.89	156.0	210.0	54.0
44.0	3.0	132.0	0.068	0.598	0.841	2.47	79.0	111.0	32.0
42.0	7.0	294.0	0.167	0.282	0.432	2.18	83.0	127.0	38.0
2.0	236.0	472.0	118.0	0.566	0.689	10.27	267.0	325.0	26.0
1.0	61.0	61.0	61.0	1.0	1.0	61.0	61.0	61.0	1.0
48.0	402.0	19296.0	8.375	0.055	0.094	4.13	1058.0	1814.0	256.0
304.0	463.0	140752.0	1.523	0.063	0.121	3.91	8898.0	17081.0	2273.0
3.0	213.0	639.0	71.0	0.318	0.379	11.94	203.0	242.0	17.0
306.0	465.0	142290.0	1.52	0.055	0.123	2.69	7861.0	17452.0	2925.0
45.0	79.0	3555.0	1.756	0.087	0.195	4.81	308.0	693.0	64.0
1.0	152.0	152.0	152.0	0.822	1.0	11.36	125.0	152.0	11.0
1.0	51.0	51.0	51.0	0.471	1.0	2.4	24.0	51.0	10.0
19.0	462.0	8778.0	24.316	0.523	0.688	16.88	4591.0	6035.0	272.0
1.0	52.0	52.0	52.0	0.981	1.0	51.0	51.0	52.0	1.0
1.0	52.0	52.0	52.0	0.538	1.0	14.0	28.0	52.0	2.0
1.0	33.0	33.0	33.0	1.0	1.0	33.0	33.0	33.0	1.0
1.0	124.0	124.0	124.0	0.444	1.0	7.86	55.0	124.0	7.0
1.0	75.0	75.0	75.0	0.92	1.0	11.5	69.0	75.0	6.0
1.0	8.0	8.0	8.0	0.875	1.0	7.0	7.0	8.0	1.0
1.0	40.0	40.0	40.0	1.0	1.0	40.0	40.0	40.0	1.0
1.0	55.0	55.0	55.0	0.564	1.0	10.33	31.0	55.0	3.0
1.0	115.0	115.0	115.0	0.2	1.0	4.6	23.0	115.0	5.0
1.0	11.0	11.0	11.0	1.0	1.0	11.0	11.0	11.0	1.0
1.0	46.0	46.0	46.0	0.783	1.0	12.0	36.0	46.0	3.0
2.0	64.0	128.0	32.0	0.531	0.586	17.0	68.0	75.0	4.0
4.0	115.0	460.0	28.75	0.426	0.487	17.82	196.0	224.0	11.0
311.0	463.0	143993.0	1.489	0.088	0.16	3.93	12631.0	23092.0	3212.0
12.0	146.0	1752.0	12.167	0.091	0.128	26.67	160.0	225.0	6.0
17.0	2.0	34.0	0.118	0.706	0.706	24.0	24.0	24.0	1.0
1.0	48.0	48.0	48.0	0.875	1.0	10.5	42.0	48.0	4.0
1.0	29.0	29.0	29.0	0.586	1.0	2.13	17.0	29.0	8.0
1.0	17.0	17.0	17.0	0.412	1.0	1.75	7.0	17.0	4.0
28.0	330.0	9240.0	11.786	0.057	0.066	31.0	527.0	614.0	17.0
212.0	464.0	98368.0	2.189	0.052	0.07	11.84	5066.0	6884.0	428.0
3.0	286.0	858.0	95.333	0.406	0.427	87.0	348.0	366.0	4.0
1.0	18.0	18.0	18.0	0.944	1.0	17.0	17.0	18.0	1.0
1.0	7.0	7.0	7.0	1.0	1.0	7.0	7.0	7.0	1.0
1.0	117.0	117.0	117.0	0.393	1.0	5.75	46.0	117.0	8.0
1.0	77.0	77.0	77.0	0.403	1.0	5.17	31.0	77.0	6.0
1.0	40.0	40.0	40.0	0.875	1.0	11.67	35.0	40.0	3.0
1.0	28.0	28.0	28.0	0.964	1.0	27.0	27.0	28.0	1.0
1.0	35.0	35.0	35.0	0.829	1.0	9.67	29.0	35.0	3.0
1.0	14.0	14.0	14.0	0.571	1.0	2.0	8.0	14.0	4.0
1.0	23.0	23.0	23.0	0.826	1.0	19.0	19.0	23.0	1.0
1.0	19.0	19.0	19.0	0.684	1.0	4.33	13.0	19.0	3.0
8.0	16.0	128.0	2.0	0.156	0.859	5.0	20.0	110.0	4.0
9.0	10.0	90.0	1.111	0.144	0.522	6.5	13.0	47.0	2.0
1.0	79.0	79.0	79.0	0.608	1.0	6.86	48.0	79.0	7.0
1.0	11.0	11.0	11.0	0.727	1.0	4.0	8.0	11.0	2.0
1.0	98.0	98.0	98.0	0.939	1.0	30.67	92.0	98.0	3.0
1.0	13.0	13.0	13.0	0.692	1.0	3.0	9.0	13.0	3.0
1.0	17.0	17.0	17.0	0.824	1.0	4.67	14.0	17.0	3.0
52.0	461.0	23972.0	8.865	0.192	0.248	11.52	4607.0	5938.0	400.0
1.0	15.0	15.0	15.0	0.867	1.0	6.5	13.0	15.0	2.0
9.0	13.0	117.0	1.444	0.103	0.752	4.0	12.0	88.0	3.0
6.0	7.0	42.0	1.167	0.238	0.69	10.0	10.0	29.0	1.0
76.0	1.0	76.0	0.013	1.0	1.0	76.0	76.0	76.0	1.0
1.0	37.0	37.0	37.0	0.811	1.0	6.0	30.0	37.0	5.0
1.0	46.0	46.0	46.0	0.239	1.0	1.38	11.0	46.0	8.0
1.0	42.0	42.0	42.0	0.31	1.0	2.6	13.0	42.0	5.0
2.0	176.0	352.0	88.0	0.528	0.605	31.0	186.0	213.0	6.0
69.0	3.0	207.0	0.043	0.643	0.952	2.08	133.0	197.0	64.0
1.0	17.0	17.0	17.0	0.882	1.0	7.5	15.0	17.0	2.0
1.0	39.0	39.0	39.0	0.897	1.0	8.75	35.0	39.0	4.0
1.0	44.0	44.0	44.0	0.909	1.0	20.0	40.0	44.0	2.0
1.0	14.0	14.0	14.0	0.929	1.0	13.0	13.0	14.0	1.0
1.0	36.0	36.0	36.0	0.583	1.0	4.2	21.0	36.0	5.0
1.0	17.0	17.0	17.0	0.765	1.0	6.5	13.0	17.0	2.0
2.0	14.0	28.0	7.0	0.286	0.821	8.0	8.0	23.0	1.0
3.0	183.0	549.0	61.0	0.488	0.577	29.78	268.0	317.0	9.0
1.0	29.0	29.0	29.0	1.0	1.0	29.0	29.0	29.0	1.0
1.0	14.0	14.0	14.0	0.929	1.0	13.0	13.0	14.0	1.0
1.0	45.0	45.0	45.0	0.933	1.0	21.0	42.0	45.0	2.0
25.0	300.0	7500.0	12.0	0.065	0.071	40.33	484.0	531.0	12.0
2.0	50.0	100.0	25.0	0.46	0.51	15.33	46.0	51.0	3.0
12.0	2.0	24.0	0.167	0.625	0.667	15.0	15.0	16.0	1.0
2.0	204.0	408.0	102.0	0.412	0.681	10.5	168.0	278.0	16.0
1.0	35.0	35.0	35.0	0.857	1.0	10.0	30.0	35.0	3.0
6.0	142.0	852.0	23.667	0.115	0.173	6.53	98.0	147.0	15.0
261.0	30.0	7830.0	0.115	0.063	0.09	2.4	492.0	701.0	205.0
1.0	14.0	14.0	14.0	0.857	1.0	12.0	12.0	14.0	1.0
1.0	69.0	69.0	69.0	0.841	1.0	8.29	58.0	69.0	7.0
1.0	148.0	148.0	148.0	0.959	1.0	47.33	142.0	148.0	3.0
1.0	84.0	84.0	84.0	0.917	1.0	19.25	77.0	84.0	4.0
1.0	73.0	73.0	73.0	0.616	1.0	3.75	45.0	73.0	12.0
21.0	2.0	42.0	0.095	0.738	0.738	31.0	31.0	31.0	1.0
38.0	70.0	2660.0	1.842	0.059	0.062	19.63	157.0	165.0	8.0
1.0	147.0	147.0	147.0	0.864	1.0	11.55	127.0	147.0	11.0
1.0	17.0	17.0	17.0	0.941	1.0	16.0	16.0	17.0	1.0
9.0	1.0	9.0	0.111	1.0	1.0	9.0	9.0	9.0	1.0
36.0	172.0	6192.0	4.778	0.128	0.337	4.84	793.0	2086.0	164.0
26.0	1.0	26.0	0.038	1.0	1.0	26.0	26.0	26.0	1.0
13.0	1.0	13.0	0.077	1.0	1.0	13.0	13.0	13.0	1.0
17.0	1.0	17.0	0.059	1.0	1.0	17.0	17.0	17.0	1.0
11.0	1.0	11.0	0.091	1.0	1.0	11.0	11.0	11.0	1.0
7.0	9.0	63.0	1.286	0.143	0.238	9.0	9.0	15.0	1.0
37.0	72.0	2664.0	1.946	0.12	0.257	7.64	321.0	685.0	42.0
13.0	1.0	13.0	0.077	1.0	1.0	13.0	13.0	13.0	1.0
14.0	1.0	14.0	0.071	1.0	1.0	14.0	14.0	14.0	1.0
2.0	6.0	12.0	3.0	0.667	1.0	4.0	8.0	12.0	2.0
23.0	1.0	23.0	0.043	1.0	1.0	23.0	23.0	23.0	1.0
13.0	1.0	13.0	0.077	1.0	1.0	13.0	13.0	13.0	1.0
15.0	1.0	15.0	0.067	1.0	1.0	15.0	15.0	15.0	1.0
3.0	54.0	162.0	18.0	0.364	0.519	8.43	59.0	84.0	7.0
49.0	79.0	3871.0	1.612	0.084	0.179	7.36	324.0	694.0	44.0
7.0	1.0	7.0	0.143	1.0	1.0	7.0	7.0	7.0	1.0
39.0	70.0	2730.0	1.795	0.09	0.255	7.0	245.0	697.0	35.0
